sheet,cell,formula,value
Summary Sheet,A3,"IF(M2=""Frameless"", ""Frameless"", ""Framed"")",Frameless
Summary Sheet,D3,SUM('Unit Type'!G71:G72),3570.7996800000001
Summary Sheet,E3,C3*D3,3570.7996800000001
Summary Sheet,F3,'Unit Type'!C74,32
Summary Sheet,G3,'Unit Type'!C72,0
Summary Sheet,H3,G3*C3,0
Summary Sheet,I3,'Unit Type'!I71,32
Summary Sheet,J3,I3*C3,32
Summary Sheet,D4,SUM('Unit Type (2)'!G71:G72),0
Summary Sheet,F4,'Unit Type (2)'!C74,0
Summary Sheet,G4,'Unit Type (2)'!C72,0
Summary Sheet,I4,'Unit Type (2)'!I71,0
Summary Sheet,D5,SUM('Unit Type (3)'!G71:G72),0
Summary Sheet,F5,'Unit Type (3)'!C74,0
Summary Sheet,G5,'Unit Type (3)'!C72,0
Summary Sheet,I5,'Unit Type (3)'!I71,0
Summary Sheet,D6,SUM('Unit Type (4)'!G71:G72),0
Summary Sheet,F6,'Unit Type (4)'!C74,0
Summary Sheet,G6,'Unit Type (4)'!C72,0
Summary Sheet,I6,'Unit Type (4)'!I71,0
Summary Sheet,M6,"IF('Summary Sheet'!M2:N2=""Framed"",VLOOKUP(M5,List!B20:C70,2,FALSE),IF('Summary Sheet'!M2:N2=""Frameless"",VLOOKUP(M5,List!B20:D70,3,FALSE),""Select Cabinet Style""))",0.126
Summary Sheet,D7,SUM('Unit Type (5)'!G71:G72),0
Summary Sheet,F7,'Unit Type (5)'!C74,0
Summary Sheet,G7,'Unit Type (5)'!C72,0
Summary Sheet,I7,'Unit Type (5)'!I71,0
Summary Sheet,D8,SUM('Unit Type (6)'!G71:G72),0
Summary Sheet,F8,'Unit Type (6)'!C74,0
Summary Sheet,G8,'Unit Type (6)'!C72,0
Summary Sheet,I8,'Unit Type (6)'!I71,0
Summary Sheet,D9,SUM('Unit Type (7)'!G71:G72),0
Summary Sheet,F9,'Unit Type (7)'!C74,0
Summary Sheet,G9,'Unit Type (7)'!C72,0
Summary Sheet,I9,'Unit Type (7)'!I71,0
Summary Sheet,D10,SUM('Unit Type (8)'!G71:G72),0
Summary Sheet,F10,'Unit Type (8)'!C74,0
Summary Sheet,G10,'Unit Type (8)'!C72,0
Summary Sheet,I10,'Unit Type (8)'!I71,0
Summary Sheet,D11,SUM('Unit Type (9)'!G71:G72),0
Summary Sheet,F11,'Unit Type (9)'!C74,0
