sheet,cell,value,formula,type,style
Summary Sheet,B2,Unit Type,,s,4
Summary Sheet,D2,Unit Price,,s,6
Summary Sheet,E2,Total,,s,7
Summary Sheet,F2,Total Cabinets,,s,4
Summary Sheet,G2,Trim Per Unit,,s,4
Summary Sheet,H2,Total Trim,,s,4
Summary Sheet,I2,Handles Per Unit,,s,8
Summary Sheet,J2,Cabinet Hardware Count,,s,9
Summary Sheet,L2,Cabinet Style:,,s,11
Summary Sheet,B3,Unit 1,,s,13
Summary Sheet,D3,3570.7996800000001,SUM('Unit Type'!G71:G72),,15
Summary Sheet,F3,32,'Unit Type'!C74,,14
Summary Sheet,G3,0,'Unit Type'!C72,,14
Summary Sheet,I3,32,'Unit Type'!I71,,14
Summary Sheet,L3,Cabinet Finish:,,s,17
Summary Sheet,D4,0,SUM('Unit Type (2)'!G71:G72),,18
Summary Sheet,F4,0,'Unit Type (2)'!C74,,14
Summary Sheet,G4,0,'Unit Type (2)'!C72,,14
Summary Sheet,I4,0,'Unit Type (2)'!I71,,14
Summary Sheet,L4,Box Construction:,,s,17
Summary Sheet,D5,0,SUM('Unit Type (3)'!G71:G72),,15
Summary Sheet,F5,0,'Unit Type (3)'!C74,,14
Summary Sheet,G5,0,'Unit Type (3)'!C72,,14
Summary Sheet,I5,0,'Unit Type (3)'!I71,,14
Summary Sheet,L5,Price Margin:,,s,17
Summary Sheet,M5,Purchase Price (0%),,s,413
Summary Sheet,D6,0,SUM('Unit Type (4)'!G71:G72),,18
Summary Sheet,F6,0,'Unit Type (4)'!C74,,14
Summary Sheet,G6,0,'Unit Type (4)'!C72,,14
Summary Sheet,I6,0,'Unit Type (4)'!I71,,14
Summary Sheet,L6,Factor:,,s,20
Summary Sheet,M6,0.126,"IF('Summary Sheet'!M2:N2=""Framed"",VLOOKUP(M5,List!B20:C70,2,FALSE),IF('Summary Sheet'!M2:N2=""Frameless"",VLOOKUP(M5,List!B20:D70,3,FALSE),""Select Cabinet Style""))",,417
Summary Sheet,D7,0,SUM('Unit Type (5)'!G71:G72),,15
Summary Sheet,F7,0,'Unit Type (5)'!C74,,14
Summary Sheet,G7,0,'Unit Type (5)'!C72,,14
Summary Sheet,I7,0,'Unit Type (5)'!I71,,14
Summary Sheet,D8,0,SUM('Unit Type (6)'!G71:G72),,15
Summary Sheet,F8,0,'Unit Type (6)'!C74,,14
Summary Sheet,G8,0,'Unit Type (6)'!C72,,14
Summary Sheet,I8,0,'Unit Type (6)'!I71,,14
Summary Sheet,L8,Handle Price (Per Handle):,,s,23
Summary Sheet,D9,0,SUM('Unit Type (7)'!G71:G72),,15
Summary Sheet,F9,0,'Unit Type (7)'!C74,,14
Summary Sheet,G9,0,'Unit Type (7)'!C72,,14
Summary Sheet,I9,0,'Unit Type (7)'!I71,,14
Summary Sheet,L9,Build Cost (Per Box):,,s,24
Summary Sheet,D10,0,SUM('Unit Type (8)'!G71:G72),,15
Summary Sheet,F10,0,'Unit Type (8)'!C74,,14
Summary Sheet,G10,0,'Unit Type (8)'!C72,,14
Summary Sheet,I10,0,'Unit Type (8)'!I71,,14
Summary Sheet,L10,Shipping Per Unit:,,s,25
Summary Sheet,D11,0,SUM('Unit Type (9)'!G71:G72),,15
Summary Sheet,F11,0,'Unit Type (9)'!C74,,14
Summary Sheet,G11,0,'Unit Type (9)'!C72,,14
Summary Sheet,I11,0,'Unit Type (9)'!I71,,14
Summary Sheet,D12,0,SUM('Unit Type (10)'!G71:G72),,15
Summary Sheet,F12,0,'Unit Type (10)'!C74,,14
Summary Sheet,G12,0,'Unit Type (10)'!C72,,14
Summary Sheet,I12,0,'Unit Type (10)'!I71,,14
Summary Sheet,L12,"Make a copy of this sheet before you begin. OPEN, then SAVE AS your project name. Then fire away! Start by filling out the unit type information, the Summary Sheet will populate as the unit types are completed. You only need to enter the ""Unit Type"" name and ""QTY"" on the summary sheet. Leave the ""Unit Price"", ""Total"", ""Total Cabinets"", and ""Cabinet Hardware Count"" fields alone.",,s,386
Summary Sheet,D13,0,SUM('Unit Type (11)'!G71:G72),,15
Summary Sheet,F13,0,'Unit Type (11)'!C74,,14
Summary Sheet,G13,0,'Unit Type (11)'!C72,,14
Summary Sheet,I13,0,'Unit Type (11)'!I71,,14
Summary Sheet,D14,0,SUM('Unit Type (12)'!G71:G72),,15
Summary Sheet,F14,0,'Unit Type (12)'!C74,,14
Summary Sheet,G14,0,'Unit Type (12)'!C72,,14
Summary Sheet,I14,0,'Unit Type (12)'!I71,,14
Summary Sheet,D15,0,SUM('Unit Type (13)'!G71:G72),,15
Summary Sheet,F15,0,'Unit Type (13)'!C74,,14
Summary Sheet,G15,0,'Unit Type (13)'!C72,,14
Summary Sheet,I15,0,'Unit Type (13)'!I71,,14
Summary Sheet,D16,0,SUM('Unit Type (14)'!G71:G72),,18
Summary Sheet,F16,0,'Unit Type (14)'!C74,,14
Summary Sheet,G16,0,'Unit Type (14)'!C72,,14
Summary Sheet,I16,0,'Unit Type (14)'!I71,,14
