row,A,B,C,D,G,H,J,K
1,Don't Touch This Sheet!! It makes everything work.,,,,,,,
2,Cabinet Style,Select One,,,Frameless Cabinet SKUs,Frameless Accessory SKUs,Framed Cabinet SKUs,Framed Accessory SKUs
3,,Framed,,,B12,DWR3,B09,DEP12*30*1/4
4,,Frameless,,,B15,REF9624,B12,DEP12*36*1/4
5,,,,,B18,REF9636,B15,DEP12*42*1/4
6,Cabinet Finish,-0.01,White Shaker,Natural Oak,BTC18,TEP9634,B18,DEP21*34.5*1/4
7,,,Gray Shaker,White Oak,B21,IP9648,BWBK18-2,DEP24*34.5*1/4
8,,,Uptown White,Black Walnut,B24,WEP1330,B21,DEP24*96*1/4
9,,,Onyx Black,Weathered Oak Shaker,B27,WEP1336,B24,PNL 34.5*96*1/4
10,,,Signature Blue,Sliced Oak Shaker,B30,WEP1342,B27,PNL34.5*96*1/2-VERTICAL
11,,,Modern Slate,Matte White,B33,MWEP1330,B30,DWR3
12,,,Espresso Shaker,Matte Grey,B36,MWEP1336,B33,REP1.5x96
13,,,,Matte Blue,,MWEP1342,B36,REP3x96
14,,,,Glossy White,B09FD,VEP21,B42,BF3
15,,,,Glossy Grey,B12FD,BEP24,B09FHD,BF6
16,,,,Glossy Black,B15FD,BEP26,B24FHD,WF330
17,,,,,B18FD,MBEP21-D,3DB12,WF336
18,,,,,B21FD,MBEP24-D,3DB15,WF342
19,,,Framed,Frameless,B24FD,MBEP26-D,3DB18,WF396
20,Price Margin,Purchase Price (0%),$C$30*0.9,$D$50*0.7,B27FD,,3DB21,WF630
21,,0.01,$C$30*0.91,$D$50*0.71,B30FD,TK8,3DB24,WF636
22,,0.02,$C$30*0.92,$D$50*0.72,B33FD,OCM8,3DB30,WF642
23,,0.03,$C$30*0.93,$D$50*0.73,B36FD,SM8,3DB36,WF696
24,,0.04,$C$30*0.94,$D$50*0.74,,,2DB24,TF1.5*96
25,,0.05,$C$30*0.95,$D$50*0.75,3DB12,WF330,2DB30,TF396
26,,0.06,$C$30*0.96,$D$50*0.76,3DB15,WF336,2DB36,TF696
27,,7.0000000000000007E-2,$C$30*0.97,$D$50*0.77,3DB18,WF342,SB30,SM8
28,,0.08,$C$30*0.98,$D$50*0.78,3DB21,WF630,SB33,SDM8
29,,0.09,$C$30*0.99,$D$50*0.79,3DB24,WF636,SB36,Cove Molding
30,,0.1,0.185,$D$50*0.8,3DB27,WF642,SB42,OCM8
31,,0.11,$C$30*1.01,$D$50*0.81,3DB30,TF396,FSM36,LM8
32,,0.12,$C$30*1.02,$D$50*0.82,3DB36,TF696,CSB42,QRM8
33,,0.13,$C$30*1.03,$D$50*0.83,,,BLS36-SP,SCM2 1/4
34,,0.14000000000000001,$C$30*1.04,$D$50*0.84,2DB24,Sample Door,BBC42,SCM2 1/4-HEEL
35,,0.15,$C$30*1.05,$D$50*0.85,2DB27,,BWRC6,SCM3 5/8
36,,0.16,$C$30*1.06,$D$50*0.86,2DB30,Edgebanding,SP09,SCM3 5/8-HEEL
37,,0.17,$C$30*1.07,$D$50*0.87,2DB36,HG-N,BMC30,BM8
38,,0.18,$C$30*1.08,$D$50*0.88,,HG-N Blum,BEC24,TK8
39,,0.19,$C$30*1.09,$D$50*0.89,BSR06,HG-DC,BES09L/R,BFD21
40,,0.2,$C$30*1.1,$D$50*0.9,BSR09,HG-D2D,PC188424,BFD24
41,,0.21,$C$30*1.11,$D$50*0.91,BSR12,HG-D2F,PC189024,FD1230
42,,0.22,$C$30*1.12,$D$50*0.92,,USR18,PC189624,FD1236
43,,0.23,$C$30*1.13,$D$50*0.93,SB30,USR21,PC248424,FD1242
44,,0.24,$C$30*1.14,$D$50*0.94,SB33,L-N Drawer,PC249024,MIRROR2430
45,,0.25,$C$30*1.15,$D$50*0.95,SB36,L-H Drawer,PC249624,MIRROR3030
46,,0.26,$C$30*1.16,$D$50*0.96,FSB36,,PC308424,POST
47,,0.27,$C$30*1.17,$D$50*0.97,SB42,Custom Trim,PC309024,TRASH KIT-18
48,,0.28000000000000003,$C$30*1.18,$D$50*0.98,,,PC309624,TOUCH UP
49,,0.28999999999999998,$C$30*1.19,$D$50*0.99,BLS33,*MWEP1233,OC338424,Gallon Paint
50,,0.3,$C$30*1.2,0.18,BLS36,*MWEP1245,OC339024,Rattle Can
51,,0.31,$C$30*1.21,$D$50*1.01,BBC36-42FD,*TEP8436,OC339624,
52,,0.32,$C$30*1.22,$D$50*1.02,BBC42-45FD,*MWEP1230,W0930,
53,,0.33,$C$30*1.23,$D$50*1.03,,*MWEP1240,W1230,
54,,0.34,$C$30*1.24,$D$50*1.04,VDB12-3,*REF2484,W1530,
55,,0.35,$C$30*1.25,$D$50*1.05,VDB15-3,*REF2490,W1530GD,
56,,0.36,$C$30*1.26,$D$50*1.06,VDB18-3,*REF9634,W1830,
57,,0.37,$C$30*1.27,$D$50*1.07,VDB21-3,,W1830GD,
58,,0.38,$C$30*1.28,$D$50*1.08,,*OPEN SHELVES 123034,W2130,
59,,0.39,$C$30*1.29,$D$50*1.09,VSB24,*Shelf 361202,W2430,
60,,0.4,$C$30*1.3,$D$50*1.1,VSB27,,W2730,
61,,0.41,$C$30*1.31,$D$50*1.11,VSB30,*SINK FASCIA 33 * 5,W3030,
62,,0.42,$C$30*1.32,$D$50*1.12,VSB36,*SINK FASCIA 42 * 5,W3030GD,
63,,0.43,$C$30*1.33,$D$50*1.13,,*False Drawer Front 38 * 6,W3330,
64,,0.44,$C$30*1.34,$D$50*1.14,VDK24,*False Drawer Front 68 * 4,W3630,
65,,0.45,$C$30*1.35,$D$50*1.15,VDK30,*False Drawer Front 70 * 4,W3630GD,
66,,0.46,$C$30*1.36,$D$50*1.16,,*False Drawer Front 38 * 6,W4230,
67,,0.47,$C$30*1.37,$D$50*1.17,PC1584,*SHELVES 33 * 2,W0936,
68,,0.48,$C$30*1.38,$D$50*1.18,PC1590,*SHELVES 23 * 2,W1236,
69,,0.49,$C$30*1.39,$D$50*1.19,PC1596,,W1536,
70,,0.5,$C$30*1.4,$D$50*1.2,PC1884,,W1536GD,
71,,,,,PC1890,,W1836,
72,,,,,PC1896,,W1836GD,
73,,,,,PC2484,,W2136,
74,VLOOKUP COLUMN DIRECTORY,,Framed,Frameless,PC2490,,W2436,
75,SKU CODE,,"IF('Summary Sheet'!$M$3=""Onyx Black"",3,IF('Summary Sheet'!$M$3=""White Shaker"",5,IF('Summary Sheet'!$M$3=""Espresso Shaker"",7,IF('Summary Sheet'!$M$3=""Signature Blue"",9,IF('Summary Sheet'!$M$3=""Gray Shaker"",11,IF('Summary Sheet'!$M$3=""Uptown White"",13,IF('Summary Sheet'!$M$3=""Modern Slate"",15,IF('Summary Sheet'!$M$3=""Dark Green Slim Shaker"",17,""no""))))))))","IF('Summary Sheet'!$M$3=""Glossy White"",3,IF('Summary Sheet'!$M$3=""Sliced Oak Shaker"",5,IF('Summary Sheet'!$M$3=""Black Walnut"",7,IF('Summary Sheet'!$M$3=""Weathered Oak Shaker"",9,IF('Summary Sheet'!$M$3=""Glossy Grey"",11,IF('Summary Sheet'!$M$3=""Natural Oak"",13,IF('Summary Sheet'!$M$3=""White Oak"",15,IF('Summary Sheet'!$M$3=""Matte White"",17,IF('Summary Sheet'!$M$3=""Matte Grey"",19,IF('Summary Sheet'!$M$3=""Matte Blue"",21,IF('Summary Sheet'!$M$3=""Glossy Black"",23,""no"")))))))))))",PC2496,,W2736,
76,LIST PRICE,,"IF('Summary Sheet'!$M$3=""Onyx Black"",2,IF('Summary Sheet'!$M$3=""White Shaker"",4,IF('Summary Sheet'!$M$3=""Espresso Shaker"",6,IF('Summary Sheet'!$M$3=""Signature Blue"",8,IF('Summary Sheet'!$M$3=""Gray Shaker"",10,IF('Summary Sheet'!$M$3=""Uptown White"",12,IF('Summary Sheet'!$M$3=""Modern Slate"",14,IF('Summary Sheet'!$M$3=""Dark Green Slim Shaker"",16,""no""))))))))","IF('Summary Sheet'!$M$3=""Glossy White"",2,IF('Summary Sheet'!$M$3=""Sliced Oak Shaker"",4,IF('Summary Sheet'!$M$3=""Black Walnut"",6,IF('Summary Sheet'!$M$3=""Weathered Oak Shaker"",8,IF('Summary Sheet'!$M$3=""Glossy Grey"",10,IF('Summary Sheet'!$M$3=""Natural Oak"",12,IF('Summary Sheet'!$M$3=""White Oak"",14,IF('Summary Sheet'!$M$3=""Matte White"",16,IF('Summary Sheet'!$M$3=""Matte Grey"",18,IF('Summary Sheet'!$M$3=""Matte Blue"",20,IF('Summary Sheet'!$M$3=""Glossy Black"",22,""no"")))))))))))",PC3084,,W3036,
77,,,,,PC3090,,W3036GD,
78,,,,,PC3096,,W3336,
79,,,,,,,W3636,
80,,,,,MOC3084,,W3636GD,
81,Box Construction,Plywood,P Box,,MOC3090,,W4236,
82,,PB w/ Wood Drawers,B Box,,MOC3096,,W0942,
83,,PB w/ PB Drawers,G Box,,,,W1242,
84,,,,,W0930,,W1542,
85,,,,,W0936,,W1542GD,
86,,,,,W0942,,W1515,
87,,,,,W1230,,W1515GD,
88,Supplier Options,,,,W1236,,W1815,
89,0,Framed,,,W1242,,W1815GD,
90,0.05,0.14626847000000001,,,W1530,,W1842,
91,0.1,Frameless,,,W1536,,W1842GD,
92,0.15,,,,W1542,,W2115,
93,0.2,,,,W1830,,W2115GD,
94,0.25,,,,W1836,,W2142,
95,,,,,W1842,,W2415,
96,,,,,W2130,,W2415GD,
97,,,,,W2136,,W2442,
98,,,,,W2142,,W2715,
99,,,,,W2430,,W2715GD,
100,,,,,W2436,,W2742,
101,,,,,W2442,,W3042,
102,,,,,W2730,,W3042GD,
103,,,,,W2736,,W3342,
104,,,,,W2742,,W3642,
105,,,,,W3030,,W3642GD,
